Kapampangan,English
mayap a bengi,goodnight
masabal,concern
kabilian,condition
paninapan,dream
"kakontra, kontrario, kasalang, kalaban",enemy
maniklo,boastful
palabuk,sauce
piruya,rake
uliran,model
tapal,patch
deng,plural
graduacion,graduation
patulbad,a kind of rice cake
keng arap,before
tuya,taunt
imu,wash the face
dwi,fishbone
selagpian,in-law
plansan,press
homework,
kapadurutnan,biochain
batirya,battery
papalto,
aguila,eagle
samba,the act of worshipping
tubu,pipe
kamuritan,crazyness
mabanglu,"once upon a time, there was a kingdom named, berbania. it was ruled by king fernando and queen valeriana who had three sons – do"
mepaburin,
ikat,braid
pulung,meeting
tau-tawan,scarecrow
puntuan,point
pakalasa,spice
maglutu,"cook, cooking"
kupak,smack
malino,clear
inge,noise
kandung,sit on somebody's lap
bulus-bulus,stray
mas buri ...pang (preferably),rather
manapelar,appeal
e parehu,different
isuka,vomit
pagato,bob
atin neng,atin neng girlfriend ne.
ilibing,bury
pamibungil,argument
"kalayahan, katimawan",freedom
gulpi,"beat up, sudden"
turtle,turtle
putu,white rice cake
kamias,a kind of vegetable
talukab,shell
tangle,tangle
libre,free
de paskua,poinsettia
magbilad,sunbathe
pamagleletra,lettering
porma,figure
"ugali, modo",manners
sumbung,complain
tabletas,tablet
turopa,haystack
"guilitan, guilit",slit
bisa,desire
senado,senate
"uma, uman",kiss
kasasaga,a kind of seed that's red and black
mie,live
suksuk,thorn
palaka,frog
raha,rajah
never,never
pamatakutan,scare
diwa,consciousness
patawad,forgiveness
tupa,sheep
barkillo,waffle
pasalungat,contrary
alaya,"east, the eastern direction"
karga,luggage
aldaba,prop for the window
magpayaglit,doze
balakwit,wicked
"dati, dating",erstwhile
sapatya,castanet
wilfred,ate anne
atom,atom
keraklan,mostly
"malagu, maki-itsura",pretty
maritak,few
pyun,apprentice
kaldera,cooking pot
pindang,jerked beef or pork
carbon,carbon
tratu,treatment
sako,sack
"maralas, pane",often
samasnan,settle
manangis,weep
karosa,carriage
mabigla,shock
kayabangan,"boastfulness, pride"
"kayanakan, anak-anak",youth
"tantu, tantu keng lub",vow
dalaga,woman
tinape,bread
piraralanan,passage
determinacion,determination
metong,one
ayanak,beget
liamado,favorite
igogo,stir
dutung,"tree, wood"
mamialung,play
o,or
mamalis,sweep
"matibe, magluat",durable
elegante,elegant
kaparis,asawa
mandalum,patag a lugál
yamu,yamu
simpli,simple
relacion,relation
tudtud,sleep
ratun,stillness
pagui (ray fish),ray
gantimpala,reward
aku,"""i said"", me, take upon oneself"
kalising,a small carriage used for harness racing
beautiful,you are very beautiful
dewakan,universe
regulacion reglamento,regulation
patus,horseshoe
tambunan,bury
"makiput, maskup",tight
dimpulan,dyed
ciudad,city
makitid,narrow
ipis,playing cards
mayumu,"sugar, sweet, sweetly"
"pangakuanan, mangaku",promise
patente,patent
baraha,deck
kabengian,nighttime
pabendisyon,to have blessed
matapang,"bold, brave"
mangkuk,bowl
metung pa,another
labasas,razor
kayalan,absence
kalidad (excellence),quality
tumumbo,protrude
makasora ka,i hate you
susun,tide
kulekta,collect
minaus,called
galikguik,giggle
marine,ashamed
bayuk,sag
dakit,fetch home
sukli,change
lawe lawe,looking around
paldak,kick
preso,convict
libre,free
matilus,sharp
gawan,produce
kabat,to lock
"dwendi, pati-anak",dwarf
aslam,vinegar
kaburian,decision
pelus,velvet
maski sanu,any
kalken,scrawl
debocion,devotion
"salta, karag",jolt
makapangaligkig,eerie
palad,palm
mas mayap,better
pagmayumu,dessert
tarik,steepness
iligtas,save
gabakan,tear
page,
milun,melon
lele,put aside
sigang,stew
bukud,only
pamanyuyu,service
mipate,fighting
sinasabi,
"ngeni, ngening aldo iti",today
venue,venue
matambok,
parulang,wheel
suplung,report
palista,enroll
kodernu,notebook
sabak,husk
"pormal, tahimik, e bularin",taciturn
